aligner,read_length,mapq,step,count
graph_19_5,30,20,post_align,77873
graph_19_5,30,25,post_align,77873
graph_19_5,30,30,post_align,77873
graph_19_5,30,35,post_align,77873
graph_19_5,30,40,post_align,77873
graph_19_5,30,45,post_align,77873
graph_19_5,30,50,post_align,77873
graph_19_5,30,55,post_align,77873
graph_19_5,30,60,post_align,77873
bwa_aln,30,0,post_align,88660
bwa_aln,30,20,post_align,88660
bwa_aln,30,30,post_align,88660
graph_15_5,40,0,post_align,93259
graph_15_5,40,5,post_align,93259
graph_15_5,40,10,post_align,93259
graph_15_5,40,15,post_align,93259
graph_15_5,40,20,post_align,93259
graph_15_5,40,25,post_align,93259
graph_15_5,40,30,post_align,93259
graph_15_5,40,35,post_align,93259
graph_15_5,40,40,post_align,93259
graph_15_5,40,45,post_align,93259
graph_15_5,40,50,post_align,93259
graph_15_5,40,55,post_align,93259
graph_15_5,40,60,post_align,93259
graph_19_5,40,0,post_align,92647
graph_19_5,40,5,post_align,92647
graph_19_5,40,10,post_align,92647
graph_19_5,40,15,post_align,92647
graph_19_5,40,20,post_align,92647
graph_19_5,40,25,post_align,92647
graph_19_5,40,30,post_align,92647
graph_19_5,40,35,post_align,92647
graph_19_5,40,40,post_align,92647
graph_19_5,40,45,post_align,92647
graph_19_5,40,50,post_align,92647
graph_19_5,40,55,post_align,92647
graph_19_5,40,60,post_align,92647
bwa_aln,40,0,post_align,85980
bwa_aln,40,20,post_align,85980
bwa_aln,40,30,post_align,85980
graph_15_5,50,0,post_align,95246
graph_15_5,50,5,post_align,95246
graph_15_5,50,10,post_align,95246
graph_15_5,50,15,post_align,95246
graph_15_5,50,20,post_align,95246
graph_15_5,50,25,post_align,95246
graph_15_5,50,30,post_align,95246
graph_15_5,50,35,post_align,95246
graph_15_5,50,40,post_align,95246
graph_15_5,50,45,post_align,95246
graph_15_5,50,50,post_align,95246
graph_15_5,50,55,post_align,95246
graph_15_5,50,60,post_align,95246
graph_19_5,50,0,post_align,95732
graph_19_5,50,5,post_align,95732
graph_19_5,50,10,post_align,95732
graph_19_5,50,15,post_align,95732
graph_19_5,50,20,post_align,95732
graph_19_5,50,25,post_align,95732
graph_19_5,50,30,post_align,95732
graph_19_5,50,35,post_align,95732
graph_19_5,50,40,post_align,95732
graph_19_5,50,45,post_align,95732
graph_19_5,50,50,post_align,95732
graph_19_5,50,55,post_align,95732
graph_19_5,50,60,post_align,95732
bwa_aln,50,0,post_align,88865
bwa_aln,50,20,post_align,88865
bwa_aln,50,30,post_align,88865
graph_15_5,60,0,post_align,96337
graph_15_5,60,5,post_align,96337
graph_15_5,60,10,post_align,96337
graph_15_5,60,15,post_align,96337
graph_15_5,60,20,post_align,96337
graph_15_5,60,25,post_align,96337
graph_15_5,60,30,post_align,96337
graph_15_5,60,35,post_align,96337
graph_15_5,60,40,post_align,96337
graph_15_5,60,45,post_align,96337
graph_15_5,60,50,post_align,96337
graph_15_5,60,55,post_align,96337
graph_15_5,60,60,post_align,96337
graph_19_5,60,0,post_align,96996
graph_19_5,60,5,post_align,96996
graph_19_5,60,10,post_align,96996
graph_19_5,60,15,post_align,96996
graph_19_5,60,20,post_align,96996
graph_19_5,60,25,post_align,96996
graph_19_5,60,30,post_align,96996
graph_19_5,60,35,post_align,96996
graph_19_5,60,40,post_align,96996
graph_19_5,60,45,post_align,96996
graph_19_5,60,50,post_align,96996
graph_19_5,60,55,post_align,96996
graph_19_5,60,60,post_align,96996
bwa_aln,60,0,post_align,87903
bwa_aln,60,20,post_align,87903
bwa_aln,60,30,post_align,87903
graph_15_5,70,0,post_align,97148
graph_15_5,70,5,post_align,97148
graph_15_5,70,10,post_align,97148
graph_15_5,70,15,post_align,97148
graph_15_5,70,20,post_align,97148
graph_15_5,70,25,post_align,97148
graph_15_5,70,30,post_align,97148
graph_15_5,70,35,post_align,97148
graph_15_5,70,40,post_align,97148
graph_15_5,70,45,post_align,97148
graph_15_5,70,50,post_align,97148
graph_15_5,70,55,post_align,97148
graph_15_5,70,60,post_align,97148
graph_19_5,70,0,post_align,97733
graph_19_5,70,5,post_align,97733
graph_19_5,70,10,post_align,97733
graph_19_5,70,15,post_align,97733
graph_19_5,70,20,post_align,97733
graph_19_5,70,25,post_align,97733
graph_19_5,70,30,post_align,97733
graph_19_5,70,35,post_align,97733
graph_19_5,70,40,post_align,97733
graph_19_5,70,45,post_align,97733
graph_19_5,70,50,post_align,97733
graph_19_5,70,55,post_align,97733
graph_19_5,70,60,post_align,97733
bwa_aln,70,0,post_align,89671
bwa_aln,70,20,post_align,89671
bwa_aln,70,30,post_align,89671
graph_15_5,30,0,post_mapq,89693
graph_15_5,30,5,post_mapq,73145
graph_15_5,30,10,post_mapq,70199
graph_15_5,30,15,post_mapq,68228
graph_15_5,30,20,post_mapq,60866
graph_15_5,30,25,post_mapq,51835
graph_15_5,30,30,post_mapq,35940
graph_15_5,30,35,post_mapq,23200
graph_15_5,30,40,post_mapq,21042
graph_15_5,30,45,post_mapq,19276
graph_15_5,30,50,post_mapq,17267
graph_15_5,30,55,post_mapq,13178
graph_15_5,30,60,post_mapq,8533
graph_19_5,30,0,post_mapq,77873
graph_19_5,30,5,post_mapq,65249
graph_19_5,30,10,post_mapq,64264
graph_19_5,30,15,post_mapq,62632
graph_19_5,30,20,post_mapq,57382
graph_19_5,30,25,post_mapq,50204
graph_19_5,30,30,post_mapq,42099
graph_19_5,30,35,post_mapq,36459
graph_19_5,30,40,post_mapq,34919
graph_19_5,30,45,post_mapq,27648
graph_19_5,30,50,post_mapq,18634
graph_19_5,30,55,post_mapq,5704
graph_19_5,30,60,post_mapq,105
bwa_aln,30,0,post_mapq,88660
bwa_aln,30,20,post_mapq,64656
bwa_aln,30,30,post_mapq,56686
graph_15_5,40,0,post_mapq,93259
graph_15_5,40,5,post_mapq,79809
graph_15_5,40,10,post_mapq,78460
graph_15_5,40,15,post_mapq,77522
graph_15_5,40,20,post_mapq,72892
graph_15_5,40,25,post_mapq,68140
graph_15_5,40,30,post_mapq,63546
graph_15_5,40,35,post_mapq,57812
graph_15_5,40,40,post_mapq,54397
graph_15_5,40,45,post_mapq,51068
graph_15_5,40,50,post_mapq,47595
graph_15_5,40,55,post_mapq,44083
graph_15_5,40,60,post_mapq,40374
graph_19_5,40,0,post_mapq,92647
graph_19_5,40,5,post_mapq,79081
graph_19_5,40,10,post_mapq,77892
graph_19_5,40,15,post_mapq,76755
graph_19_5,40,20,post_mapq,71515
graph_19_5,40,25,post_mapq,65793
graph_19_5,40,30,post_mapq,58725
graph_19_5,40,35,post_mapq,50058
graph_19_5,40,40,post_mapq,47500
graph_19_5,40,45,post_mapq,43997
graph_19_5,40,50,post_mapq,40031
graph_19_5,40,55,post_mapq,32848
graph_19_5,40,60,post_mapq,25115
bwa_aln,40,0,post_mapq,85980
bwa_aln,40,20,post_mapq,64535
bwa_aln,40,30,post_mapq,56449
graph_15_5,50,0,post_mapq,95246
graph_15_5,50,5,post_mapq,85384
graph_15_5,50,10,post_mapq,84680
graph_15_5,50,15,post_mapq,84159
graph_15_5,50,20,post_mapq,80762
graph_15_5,50,25,post_mapq,77376
graph_15_5,50,30,post_mapq,75485
graph_15_5,50,35,post_mapq,73497
graph_15_5,50,40,post_mapq,71880
graph_15_5,50,45,post_mapq,70146
graph_15_5,50,50,post_mapq,67819
graph_15_5,50,55,post_mapq,65917
graph_15_5,50,60,post_mapq,63765
graph_19_5,50,0,post_mapq,95732
graph_19_5,50,5,post_mapq,85258
graph_19_5,50,10,post_mapq,84493
graph_19_5,50,15,post_mapq,83819
graph_19_5,50,20,post_mapq,80091
graph_19_5,50,25,post_mapq,76330
