read_length,aligner,mapq,microbial_mapped
40,graph_15_3,40,700
40,graph_15_3,45,462
40,graph_15_3,50,299
40,graph_15_3,55,145
40,graph_15_3,60,94
40,graph_17_3,0,42757
40,graph_17_3,5,31825
40,graph_17_3,10,26436
40,graph_17_3,15,20225
40,graph_17_3,20,13730
40,graph_17_3,25,5971
40,graph_17_3,30,1422
40,graph_17_3,35,977
40,graph_17_3,40,834
40,graph_17_3,45,675
40,graph_17_3,50,393
40,graph_17_3,55,119
40,graph_17_3,60,76
40,graph_17_5,0,32889
40,graph_17_5,5,25550
40,graph_17_5,10,22164
40,graph_17_5,15,17356
40,graph_17_5,20,11990
40,graph_17_5,25,5185
40,graph_17_5,30,1478
40,graph_17_5,35,1046
40,graph_17_5,40,965
40,graph_17_5,45,825
40,graph_17_5,50,432
40,graph_17_5,55,140
40,graph_17_5,60,70
40,graph_19_3,0,18235
40,graph_19_3,5,15074
40,graph_19_3,10,13286
40,graph_19_3,15,10664
40,graph_19_3,20,7768
40,graph_19_3,25,4004
40,graph_19_3,30,1776
40,graph_19_3,35,1246
40,graph_19_3,40,1203
40,graph_19_3,45,984
40,graph_19_3,50,384
40,graph_19_3,55,61
40,graph_19_3,60,39
50,graph_15_3,0,73379
50,graph_15_3,5,38889
50,graph_15_3,10,26911
50,graph_15_3,15,20040
50,graph_15_3,20,14025
50,graph_15_3,25,7351
50,graph_15_3,30,2167
50,graph_15_3,35,1788
50,graph_15_3,40,1351
50,graph_15_3,45,897
50,graph_15_3,50,543
50,graph_15_3,55,274
50,graph_15_3,60,155
50,graph_17_3,0,46305
50,graph_17_3,5,34370
50,graph_17_3,10,28497
50,graph_17_3,15,21804
50,graph_17_3,20,14740
50,graph_17_3,25,6835
50,graph_17_3,30,2043
50,graph_17_3,35,1509
50,graph_17_3,40,1293
50,graph_17_3,45,959
50,graph_17_3,50,548
50,graph_17_3,55,188
50,graph_17_3,60,120
50,graph_17_5,0,37134
50,graph_17_5,5,28609
50,graph_17_5,10,24683
50,graph_17_5,15,19268
50,graph_17_5,20,13226
50,graph_17_5,25,5934
50,graph_17_5,30,2030
50,graph_17_5,35,1467
50,graph_17_5,40,1253
50,graph_17_5,45,976
50,graph_17_5,50,505
50,graph_17_5,55,193
50,graph_17_5,60,109
50,graph_19_3,0,23155
50,graph_19_3,5,18793
50,graph_19_3,10,16440
50,graph_19_3,15,13061
50,graph_19_3,20,9411
50,graph_19_3,25,4843
50,graph_19_3,30,2178
50,graph_19_3,35,1509
50,graph_19_3,40,1397
50,graph_19_3,45,1088
50,graph_19_3,50,469
50,graph_19_3,55,104
50,graph_19_3,60,57
60,graph_15_3,0,74090
60,graph_15_3,5,39656
60,graph_15_3,10,27344
60,graph_15_3,15,20481
60,graph_15_3,20,14474
60,graph_15_3,25,7931
60,graph_15_3,30,2753
60,graph_15_3,35,2274
60,graph_15_3,40,1838
60,graph_15_3,45,1290
60,graph_15_3,50,847
60,graph_15_3,55,494
60,graph_15_3,60,347
60,graph_17_3,0,48902
60,graph_17_3,5,35885
60,graph_17_3,10,29592
60,graph_17_3,15,22398
60,graph_17_3,20,15335
60,graph_17_3,25,7424
60,graph_17_3,30,2487
60,graph_17_3,35,1886
60,graph_17_3,40,1582
60,graph_17_3,45,1236
60,graph_17_3,50,762
60,graph_17_3,55,323
60,graph_17_3,60,229
60,graph_17_5,0,40281
60,graph_17_5,5,30906
60,graph_17_5,10,26389
60,graph_17_5,15,20432
60,graph_17_5,20,14150
60,graph_17_5,25,6680
60,graph_17_5,30,2488
60,graph_17_5,35,1885
60,graph_17_5,40,1566
60,graph_17_5,45,1232
60,graph_17_5,50,689
60,graph_17_5,55,330
60,graph_17_5,60,209
60,graph_19_3,0,26789
60,graph_19_3,5,21435
60,graph_19_3,10,18571
60,graph_19_3,15,14882
60,graph_19_3,20,10770
60,graph_19_3,25,5578
60,graph_19_3,30,2601
60,graph_19_3,35,1849
60,graph_19_3,40,1644
60,graph_19_3,45,1278
60,graph_19_3,50,583
60,graph_19_3,55,178
60,graph_19_3,60,103
70,graph_15_3,0,75035
70,graph_15_3,5,40858
70,graph_15_3,10,28381
70,graph_15_3,15,21229
70,graph_15_3,20,15144
70,graph_15_3,25,8495
70,graph_15_3,30,3251
70,graph_15_3,35,2711
70,graph_15_3,40,2158
70,graph_15_3,45,1649
70,graph_15_3,50,1137
70,graph_15_3,55,714
70,graph_15_3,60,500
70,graph_17_3,0,51287
70,graph_17_3,5,37441
70,graph_17_3,10,30688
70,graph_17_3,15,23266
70,graph_17_3,20,15941
70,graph_17_3,25,8200
70,graph_17_3,30,2983
70,graph_17_3,35,2367
70,graph_17_3,40,1947
70,graph_17_3,45,1497
70,graph_17_3,50,946
70,graph_17_3,55,491
70,graph_17_3,60,328
70,graph_17_5,0,43135
70,graph_17_5,5,32690
70,graph_17_5,10,27701
70,graph_17_5,15,21320
70,graph_17_5,20,14732
70,graph_17_5,25,7293
70,graph_17_5,30,2877
70,graph_17_5,35,2202
70,graph_17_5,40,1810
70,graph_17_5,45,1368
70,graph_17_5,50,786
70,graph_17_5,55,419
70,graph_17_5,60,282
70,graph_19_3,0,30898
70,graph_19_3,5,24503
70,graph_19_3,10,21099
70,graph_19_3,15,16858
70,graph_19_3,20,12105
70,graph_19_3,25,6454
70,graph_19_3,30,3091
70,graph_19_3,35,2247
70,graph_19_3,40,1917
70,graph_19_3,45,1474
70,graph_19_3,50,783
70,graph_19_3,55,280
70,graph_19_3,60,154
