aligner,read_length,mapq,retention,accuracy
graph_15_5,70,25,87.86181908,98.86475467
graph_15_5,70,30,86.61526743,99.02786856
graph_15_5,70,35,85.6064973,99.0597006
graph_15_5,70,40,84.77580599,99.07355691
graph_15_5,70,45,83.74747807,99.11872073
graph_15_5,70,50,82.38255034,99.18033811
graph_15_5,70,55,81.52406637,99.2222124
graph_15_5,70,60,80.67587598,99.25614035
graph_19_5,70,0,99.2602294,92.85022163
graph_19_5,70,5,93.24179141,97.39706786
graph_19_5,70,10,92.84172183,97.64814794
graph_19_5,70,15,92.5286239,97.78505159
graph_19_5,70,20,90.13332242,98.55034624
graph_19_5,70,25,87.5497529,98.94349325
graph_19_5,70,30,86.52758024,99.03389069
graph_19_5,70,35,85.58930965,99.06394577
graph_19_5,70,40,84.68071174,99.09377605
graph_19_5,70,45,83.59407774,99.1272843
graph_19_5,70,50,82.01528655,99.20155696
graph_19_5,70,55,81.02176338,99.24228073
graph_19_5,70,60,80.02005464,99.26604097
bwa_aln,70,0,100,90.36700829
bwa_aln,70,20,87.54669849,99.05482523
bwa_aln,70,30,83.19858148,99.40352523
