read_length,aligner,mapq,accurate_per_million,inaccurate_per_million
30,graph_15_5,0,660740,219480
30,graph_15_5,5,641870,82980
30,graph_15_5,10,632650,63560
30,graph_15_5,15,622600,54350
30,graph_15_5,20,572980,31470
30,graph_15_5,25,500570,14810
30,graph_15_5,30,354410,3330
30,graph_15_5,35,228890,2020
30,graph_15_5,40,207650,1800
30,graph_15_5,45,190370,1490
30,graph_15_5,50,170770,1080
30,graph_15_5,55,130770,470
30,graph_15_5,60,84660,280
30,graph_19_5,0,599930,163770
30,graph_19_5,5,585120,61500
30,graph_19_5,10,581720,55340
30,graph_19_5,15,570510,50610
30,graph_19_5,20,538190,31420
30,graph_19_5,25,484510,14760
30,graph_19_5,30,410240,8750
30,graph_19_5,35,355740,7140
30,graph_19_5,40,340940,6660
30,graph_19_5,45,270600,4640
30,graph_19_5,50,183570,2050
30,graph_19_5,55,56720,120
30,graph_19_5,60,1050,0
30,bwa_aln,0,671450,202870
30,bwa_aln,20,628740,14840
30,bwa_aln,30,558200,6910
40,graph_15_5,0,763130,152600
40,graph_15_5,5,743480,47340
40,graph_15_5,10,739490,38330
40,graph_15_5,15,735310,33520
40,graph_15_5,20,706700,16730
40,graph_15_5,25,668160,8810
40,graph_15_5,30,627050,4610
40,graph_15_5,35,571190,3740
40,graph_15_5,40,537770,3280
40,graph_15_5,45,505460,2620
40,graph_15_5,50,471660,1960
40,graph_15_5,55,437270,1470
40,graph_15_5,60,400660,1140
40,graph_19_5,0,760760,148910
40,graph_19_5,5,740280,43390
40,graph_19_5,10,735790,36420
40,graph_19_5,15,728110,32990
40,graph_19_5,20,693130,16580
40,graph_19_5,25,645370,8310
40,graph_19_5,30,578510,5350
40,graph_19_5,35,493830,4120
40,graph_19_5,40,469120,3490
40,graph_19_5,45,435240,2610
40,graph_19_5,50,396830,1600
40,graph_19_5,55,326150,820
40,graph_19_5,60,249400,540
40,bwa_aln,0,681860,169140
40,bwa_aln,20,635900,7620
40,bwa_aln,30,560550,2830
50,graph_15_5,0,832500,103150
50,graph_15_5,5,815330,30780
50,graph_15_5,10,813050,26370
50,graph_15_5,15,810540,23830
50,graph_15_5,20,788290,12720
50,graph_15_5,25,761180,6800
50,graph_15_5,30,744380,4970
50,graph_15_5,35,725320,4360
50,graph_15_5,40,709700,4010
50,graph_15_5,45,693210,3500
50,graph_15_5,50,671050,2820
50,graph_15_5,55,652710,2370
50,graph_15_5,60,631610,2130
50,graph_19_5,0,832070,107870
50,graph_19_5,5,814030,30780
50,graph_19_5,10,811240,26310
50,graph_19_5,15,807220,23810
50,graph_19_5,20,782020,12360
50,graph_19_5,25,750820,6890
50,graph_19_5,30,724250,5250
50,graph_19_5,35,688080,4670
50,graph_19_5,40,668670,4100
50,graph_19_5,45,646920,3310
50,graph_19_5,50,620970,2470
50,graph_19_5,55,593180,1980
50,graph_19_5,60,563780,1740
50,bwa_aln,0,747690,132110
50,bwa_aln,20,704430,6990
50,bwa_aln,30,654450,3470
60,graph_15_5,0,869280,78260
60,graph_15_5,5,854440,24650
60,graph_15_5,10,852750,21470
60,graph_15_5,15,850830,19670
60,graph_15_5,20,832280,10550
60,graph_15_5,25,808560,5660
60,graph_15_5,30,797360,4150
60,graph_15_5,35,785980,3800
60,graph_15_5,40,776560,3500
60,graph_15_5,45,764070,3250
60,graph_15_5,50,748060,2890
60,graph_15_5,55,736420,2570
60,graph_15_5,60,723870,2380
60,graph_19_5,0,874440,79530
60,graph_19_5,5,858620,22980
60,graph_19_5,10,856540,20410
60,graph_19_5,15,854300,18650
60,graph_19_5,20,835600,10360
60,graph_19_5,25,810990,5870
60,graph_19_5,30,797790,4830
60,graph_19_5,35,782280,4490
60,graph_19_5,40,770630,4160
60,graph_19_5,45,755830,3660
60,graph_19_5,50,735530,2880
60,graph_19_5,55,720120,2390
60,graph_19_5,60,703350,2200
60,bwa_aln,0,771080,100700
60,bwa_aln,20,733680,6780
60,bwa_aln,30,684310,3160
70,graph_15_5,0,894250,61280
70,graph_15_5,5,881600,21870
70,graph_15_5,10,880150,19440
70,graph_15_5,15,878810,18040
70,graph_15_5,20,863170,10660
70,graph_15_5,25,842440,6430
70,graph_15_5,30,831850,5040
70,graph_15_5,35,822400,4750
70,graph_15_5,40,814550,4570
70,graph_15_5,45,805050,4250
70,graph_15_5,50,792410,3790
70,graph_15_5,55,784470,3470
70,graph_15_5,60,776570,3260
70,graph_19_5,0,899160,61740
70,graph_19_5,5,886160,19520
70,graph_19_5,10,884660,17180
70,graph_19_5,15,882900,15940
70,graph_19_5,20,866760,8970
70,graph_19_5,25,845280,5740
70,graph_19_5,30,836140,5000
70,graph_19_5,35,827320,4730
70,graph_19_5,40,818790,4470
70,graph_19_5,45,808530,4150
70,graph_19_5,50,793880,3560
70,graph_19_5,55,784560,3280
70,graph_19_5,60,775000,3170
70,bwa_aln,0,808540,80490
70,bwa_aln,20,775930,6570
70,bwa_aln,30,740200,3950
